食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
＜魚類＞　さば類　たいせいようさば　生,295,54.5,17.2,26.8,0.4,0.3
＜魚類＞　さば類　たいせいようさば　水煮,310,51.4,18.6,28.5,0.4,0.2
＜魚類＞　さば類　たいせいようさば　焼き,326,47,21.8,29.3,0.5,0.3
＜魚類＞　さば類　加工品　塩さば,263,52.1,26.2,19.1,0.1,1.8
＜魚類＞　さば類　加工品　開き干し,303,50.1,18.7,28.5,0.2,1.7
＜魚類＞　さば類　加工品　しめさば,292,50.6,18.6,26.9,1.7,1.6
＜魚類＞　さば類　缶詰　水煮,174,66,20.9,10.7,0.2,0.9
＜魚類＞　さば類　缶詰　みそ煮,210,61,16.3,13.9,6.6,1.1
＜魚類＞　さば類　缶詰　味付け,208,59.6,21.4,12.6,4,1.3
＜魚類＞　さめ類　あぶらつのざめ　生,138,72.4,16.8,9.4,Tr,0.3
＜魚類＞　さめ類　よしきりざめ　生,79,79.2,18.9,0.6,Tr,0.5
＜魚類＞　さめ類　ふかひれ,344,13,83.9,1.6,Tr,0.5
＜魚類＞　さより　生,88,77.9,19.6,1.3,Tr,0.5
＜魚類＞　さわら　生,161,68.6,20.1,9.7,0.1,0.2
＜魚類＞　さわら　焼き,184,63.8,23.6,10.8,0.1,0.2
＜魚類＞　さんま　皮つき　生,287,55.6,18.1,25.6,0.1,0.4
＜魚類＞　さんま　皮なし　生,277,57,17.8,25,0.2,0.3
＜魚類＞　さんま　皮つき　焼き,281,53.2,23.3,22.8,0.2,0.3
＜魚類＞　さんま　開き干し,232,59.7,19.3,19,0.1,1.3
＜魚類＞　さんま　みりん干し,382,25.1,23.9,25.8,20.4,3.6
＜魚類＞　さんま　缶詰　味付け,259,53.9,18.9,18.9,5.6,1.4
＜魚類＞　さんま　缶詰　かば焼,219,57,17.4,13,9.7,1.5
＜魚類＞　しいら　生,100,75.5,21.3,1.9,Tr,0.1
＜魚類＞　ししゃも類　ししゃも　生干し　生,152,67.6,21,8.1,0.2,1.2
＜魚類＞　ししゃも類　ししゃも　生干し　焼き,162,64.1,24.3,7.8,0.2,1.6
＜魚類＞　ししゃも類　からふとししゃも　生干し　生,160,69.3,15.6,11.6,0.5,1.5
＜魚類＞　ししゃも類　からふとししゃも　生干し　焼き,170,66.4,18.2,11.3,0.6,2
＜魚類＞　したびらめ　生,89,78,19.2,1.6,Tr,0.4
＜魚類＞　しまあじ　養殖　生,153,68.9,21.9,8,0.1,0.1
＜魚類＞　しらうお　生,70,82.6,13.6,2,0.1,0.4
＜魚類＞　シルバー　生,138,72.4,18.6,7.9,Tr,0.2
＜魚類＞　すずき　生,113,74.8,19.8,4.2,Tr,0.2
＜魚類＞　たい類　きだい　生,100,76.9,18.6,3.1,0.2,0.2
＜魚類＞　たい類　くろだい　生,137,71.4,20.4,6.7,0.3,0.1
＜魚類＞　たい類　ちだい　生,97,76.8,19.4,2.4,0.1,0.2
＜魚類＞　たい類　まだい　天然　生,129,72.2,20.6,5.8,0.1,0.1
＜魚類＞　たい類　まだい　養殖　皮つき　生,160,68.5,20.9,9.4,0.1,0.1
＜魚類＞　たい類　まだい　養殖　皮つき　水煮,182,65,22.2,11.9,0.1,0.1
＜魚類＞　たい類　まだい　養殖　皮つき　焼き,186,63.8,22.7,12,0.1,0.1
＜魚類＞　たい類　まだい　養殖　皮なし　生,131,71.9,21.2,5.9,0.2,0.1
＜魚類＞　たかさご　生,93,76.7,20.2,1.5,0.1,0.1
＜魚類＞　たかべ　生,148,71,18.7,9,Tr,0.3
＜魚類＞　たちうお　生,238,61.6,16.5,20.9,Tr,0.2
＜魚類＞　たら類　すけとうだら　生,72,81.6,17.4,1,0.1,0.3
＜魚類＞　たら類　すけとうだら　フライ,195,61.9,19.2,11.9,5.7,0.4
＜魚類＞　たら類　すけとうだら　すり身,98,75.1,17.5,0.2,6.6,0.3
＜魚類＞　たら類　すけとうだら　すきみだら,165,38.2,40.5,0.3,0.1,18.8
＜魚類＞　たら類　すけとうだら　たらこ　生,131,65.2,24,4.7,0.4,4.6
＜魚類＞　たら類　すけとうだら　たらこ　焼き,158,58.6,28.3,6.1,0.5,5.3
＜魚類＞　たら類　すけとうだら　からしめんたいこ,121,66.6,21,3.3,3,5.6
＜魚類＞　たら類　まだら　生,72,80.9,17.6,0.2,0.1,0.3
＜魚類＞　たら類　まだら　焼き,103,72.8,25.2,0.2,0.2,0.4
＜魚類＞　たら類　まだら　しらこ　生,60,83.8,13.4,0.8,0.2,0.3
＜魚類＞　たら類　まだら　塩だら,61,82.1,15.2,0.1,Tr,2
＜魚類＞　たら類　まだら　干しだら,299,18.5,73.2,0.8,0.1,3.8
＜魚類＞　たら類　加工品　でんぶ,276,26.9,25.5,1.1,41.5,4.2
＜魚類＞　たら類　加工品　桜でんぶ,351,5.6,10.6,0.5,80.2,2.4
＜魚類＞　ちか　生,82,78.3,19.5,0.6,Tr,0.6
＜魚類＞　どじょう　生,72,79.1,16.1,1.2,Tr,0.2
＜魚類＞　どじょう　水煮,76,77.9,17.1,1.2,Tr,0.3
＜魚類＞　とびうお　生,89,76.9,21,0.7,0.1,0.2
＜魚類＞　とびうお　煮干し,325,12.5,80,2.2,0.1,1.5
＜魚類＞　とびうお　焼き干し,309,11.8,73.4,3.3,0.1,1.8
＜魚類＞　ナイルティラピア　生,124,73.5,19.8,5.3,0.2,0.2
＜魚類＞　なまず　生,145,72,18.4,8.6,Tr,0.1
＜魚類＞　にぎす　生,84,78.5,18.7,1.2,0.1,0.5
＜魚類＞　にしん　生,196,66.1,17.4,15.1,0.1,0.3
＜魚類＞　にしん　身欠きにしん,224,60.6,20.9,16.7,0.2,0.4
＜魚類＞　にしん　開き干し,239,59.8,18.5,19.7,0.2,0.9
＜魚類＞　にしん　くん製,280,43.9,23.1,22.1,Tr,9.9
＜魚類＞　にしん　かずのこ　生,139,66.1,25.2,6.7,0.2,0.8
＜魚類＞　にしん　かずのこ　乾,358,16.5,65.2,13.6,0.5,3.6
＜魚類＞　にしん　かずのこ　塩蔵　水戻し,80,80,15,3,0.6,1.2
＜魚類＞　はぜ　生,78,79.4,19.1,0.2,0.1,0.2
＜魚類＞　はぜ　つくだ煮,277,23.2,24.3,3,39.9,5.6
＜魚類＞　はぜ　甘露煮,260,29.5,21.1,2.2,40.3,3.8
＜魚類＞　はたはた　生,101,78.8,14.1,5.7,Tr,0.5
＜魚類＞　はたはた　生干し,154,71.1,16.7,10.3,Tr,1.3
＜魚類＞　はまふえふき　生,85,77.7,20.5,0.3,0.1,0.2
＜魚類＞　はも　生,132,71,22.3,5.3,Tr,0.2
＜魚類＞　ひらまさ　生,128,71.1,22.6,4.9,0.1,0.1
＜魚類＞　ひらめ　天然　生,96,76.8,20,2,Tr,0.1
＜魚類＞　ひらめ　養殖　皮つき　生,115,73.7,21.6,3.7,Tr,0.1
＜魚類＞　ひらめ　養殖　皮なし　生,100,76,21.2,2.5,0.1,0.1
＜魚類＞　ふぐ類　とらふぐ　養殖　生,80,78.9,19.3,0.3,0.2,0.3
＜魚類＞　ふぐ類　まふぐ　生,78,79.3,18.9,0.4,Tr,0.2
＜魚類＞　ふな　生,93,78,18.2,2.5,0.1,0.1
＜魚類＞　ふな　水煮,104,75.6,20.3,2.8,0.1,0.1
＜魚類＞　ふな　甘露煮,266,28.7,15.5,3.6,44.4,3.3
＜魚類＞　ふな　ふなずし,181,57,21.3,7.9,9.2,3.9
＜魚類＞　ぶり　成魚　生,222,59.6,21.4,17.6,0.3,0.1
＜魚類＞　ぶり　成魚　焼き,260,51.8,26.2,20.4,0.3,0.1
＜魚類＞　ぶり　はまち　養殖　皮つき　生,217,61.5,20.7,17.2,0.3,0.1
＜魚類＞　ぶり　はまち　養殖　皮なし　生,180,66.4,21,12,0.3,0.1
＜魚類＞　ほうぼう　生,110,74.9,19.6,4.2,Tr,0.3
＜魚類＞　ホキ　生,78,80.4,17,1.3,Tr,0.4
＜魚類＞　ほっけ　生,103,77.1,17.3,4.4,0.1,0.2
＜魚類＞　ほっけ　塩ほっけ,113,72.4,18.1,4.9,0.1,3.6
＜魚類＞　ほっけ　開き干し　生,161,67,20.6,9.4,0.1,1.8
＜魚類＞　ほっけ　開き干し　焼き,179,63.7,23.1,10.9,0.2,2
＜魚類＞　ぼら　生,119,74.7,19.2,5,0.1,0.2
＜魚類＞　ぼら　からすみ,353,25.9,40.4,28.9,0.3,3.6
＜魚類＞　ほんもろこ　生,103,75.1,17.5,4.1,0.1,0.2
＜魚類＞　まぐろ類　きはだ　生,102,74,24.3,1,Tr,0.1
＜魚類＞　まぐろ類　くろまぐろ　天然　赤身　生,115,70.4,26.4,1.4,0.1,0.1
＜魚類＞　まぐろ類　くろまぐろ　天然　脂身　生,308,51.4,20.1,27.5,0.1,0.2
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　生,153,68.8,24.8,7.6,0.3,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　水煮,173,64.1,27.2,8.3,0.3,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　蒸し,187,62,28,9.9,0.2,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　電子レンジ調理,191,60,30.4,8.7,0.3,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　焼き,202,59.6,29,10.6,0.3,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　ソテー,194,61.6,28,10.2,0.3,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　赤身　天ぷら,222,57.8,25.1,12.6,3.2,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　脂身　生,321,52.6,18.6,28.9,0.3,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　脂身　水煮,330,47.8,21.4,27.1,0.3,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　脂身　蒸し,313,50.2,21.8,27.3,0.1,1.9
＜魚類＞　まぐろ類　くろまぐろ　養殖　脂身　電子レンジ調理,307,48.1,23.1,22.7,0.2,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　脂身　焼き,342,46.4,23,28.4,0.2,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　脂身　ソテー,339,45.7,24.3,27.8,0.2,0.1
＜魚類＞　まぐろ類　くろまぐろ　養殖　脂身　天ぷら,345,42,22,25.4,2.4,0.1
＜魚類＞　まぐろ類　びんなが　生,111,71.8,26,0.7,0.2,0.1
＜魚類＞　まぐろ類　みなみまぐろ　赤身　生,88,77,21.6,0.4,0.1,0.1
＜魚類＞　まぐろ類　みなみまぐろ　脂身　生,322,50.3,20.3,28.3,0.1,0.1
＜魚類＞　まぐろ類　めじまぐろ　生,139,68.7,25.2,4.8,0.1,0.1
＜魚類＞　まぐろ類 めばち　赤身　生,115,72.2,25.4,2.3,0.3,0.1
＜魚類＞　まぐろ類 めばち　脂身　生,158,67.8,23.9,7.5,0.4,0.3
＜魚類＞　まぐろ類　缶詰　水煮　フレーク　ライト,70,82,16,0.7,0.2,0.5
＜魚類＞　まぐろ類　缶詰　水煮　フレーク　ホワイト,96,77.6,18.3,2.5,0.4,0.7
＜魚類＞　まぐろ類　缶詰　味付け　フレーク,134,65.7,19,2.3,9.9,1.9
＜魚類＞　まぐろ類　缶詰　油漬　フレーク　ライト,265,59.1,17.7,21.7,0.1,0.9
＜魚類＞　まぐろ類　缶詰　油漬　フレーク　ホワイト,279,56,18.8,23.6,0.1,0.9
＜魚類＞　マジェランあいなめ　生,243,62.8,13.3,22.9,0.1,0.2
＜魚類＞　まながつお　生,161,70.8,17.1,10.9,Tr,0.4
＜魚類＞　みなみくろたち　生,112,73.8,21.7,3,0.1,0.3
＜魚類＞　みなみだら　生,68,81.9,16.4,0.3,Tr,0.6
＜魚類＞　むつ　生,175,69.7,16.7,12.6,Tr,0.2
＜魚類＞　むつ　水煮,161,68.3,22.2,8.4,Tr,0.2
＜魚類＞　めじな　生,113,74.7,19.4,4.5,0.1,0.2
＜魚類＞　めばる　生,100,77.2,18.1,3.5,Tr,0.2
＜魚類＞　メルルーサ　生,73,81.1,17,0.6,Tr,0.4
＜魚類＞　やつめうなぎ　生,245,61.5,15.8,21.8,0.2,0.1
＜魚類＞　やつめうなぎ　干しやつめ,449,14.3,50.3,31.2,0.5,0.3
＜魚類＞　やまめ　養殖　生,110,75.6,18.4,4.3,0.3,0.1
＜魚類＞　わかさぎ　生,71,81.8,14.4,1.7,0.1,0.5
＜魚類＞　わかさぎ　つくだ煮,308,19.3,28.7,5.5,38.2,4.8
＜魚類＞　わかさぎ　あめ煮,301,21,26.3,5.1,40.4,4.1
＜貝類＞　あかがい　生,70,80.4,13.5,0.3,3.5,0.8
＜貝類＞　あげまき　生,44,87.1,8.1,0.6,2,1.5
＜貝類＞　あさり　生,29,90.3,5.7,0.7,0.4,2
＜貝類＞　あさり　蒸し,32,89.5,4.9,0.8,0.4,2
＜貝類＞　あさり　つくだ煮,218,38,20.8,2.4,30.1,7.4
＜貝類＞　あさり　缶詰　水煮,102,73.2,20.3,2.2,1.9,1
＜貝類＞　あさり　缶詰　味付け,124,67.2,16.6,1.9,11.5,1.6
＜貝類＞　あわび　くろあわび　生,76,79.5,14.3,0.8,3.6,1.1
＜貝類＞　あわび　まだかあわび　生,74,80,14.6,0.4,3.3,0.8
＜貝類＞　あわび　めがいあわび　生,74,80.1,12.2,0.3,6.8,0.8
＜貝類＞　あわび　干し,257,27.9,38,1.6,23.8,7.4
＜貝類＞　あわび　塩辛,93,72.5,14.8,3.9,1.4,6.6
＜貝類＞　あわび　水煮缶詰,85,77.2,19.4,0.4,1,1.4
＜貝類＞　いがい　生,63,82.9,10.3,1.6,3.2,1.4
＜貝類＞　いたやがい　養殖　生,55,84.9,10.8,0.8,1.5,1.1
＜貝類＞　エスカルゴ　水煮缶詰,75,79.9,16.5,1,0.8,0.7
＜貝類＞　かき　養殖　生,58,85,6.9,2.2,4.9,1.2
＜貝類＞　かき　養殖　水煮,90,78.7,9.9,3.6,7.1,0.9
＜貝類＞　かき　養殖　フライ,256,46.6,7.6,11.1,32.9,1
＜貝類＞　かき　くん製油漬缶詰,294,51.2,12.5,22.6,11.2,0.8
＜貝類＞　さざえ　生,83,78,19.4,0.4,0.8,0.6
＜貝類＞　さざえ　焼き,91,75.6,21.3,0.4,0.9,0.7
＜貝類＞　さるぼう　味付け缶詰,131,66.1,15.9,2.2,12.9,2.2
＜貝類＞　しじみ　生,54,86,7.5,1.4,4.5,0.4
＜貝類＞　しじみ　水煮,95,76,15.4,2.7,5.5,0.3
＜貝類＞　たいらがい　貝柱　生,94,75.2,21.8,0.2,1.5,0.7
＜貝類＞　たにし　生,73,78.8,13,1.1,3.6,0.1
＜貝類＞　つぶ　生,82,78.2,17.8,0.2,2.3,1
＜貝類＞　とこぶし　生,78,78.9,16,0.4,3,0.7
＜貝類＞　とりがい　斧足　生,81,78.6,12.9,0.3,6.9,0.3
＜貝類＞　ばい　生,81,78.5,16.3,0.6,3.1,0.6
＜貝類＞　ばかがい　生,56,84.6,10.9,0.5,2.4,0.8
＜貝類＞　はまぐり類　はまぐり　生,35,88.8,6.1,0.6,1.8,2
＜貝類＞　はまぐり類　はまぐり　水煮,79,78.6,14.9,1.5,2.9,1.2
＜貝類＞　はまぐり類　はまぐり　焼き,70,79.8,13.3,1,2.8,2
＜貝類＞　はまぐり類　はまぐり　つくだ煮,211,40.1,27,2.8,21.4,7.1
＜貝類＞　はまぐり類　ちょうせんはまぐり　生,41,88.1,6.5,1,2.7,1.3
＜貝類＞　ほたてがい　生,66,82.3,13.5,0.9,1.5,0.8
＜貝類＞　ほたてがい　水煮,89,76.8,17.6,1.9,1.9,0.6
＜貝類＞　ほたてがい　貝柱　生,82,78.4,16.9,0.3,3.5,0.3
＜貝類＞　ほたてがい　貝柱　焼き,123,67.8,23.8,0.3,4.6,0.4
＜貝類＞　ほたてがい　貝柱　煮干し,301,17.1,65.7,1.4,7.6,6.4
＜貝類＞　ほたてがい　貝柱　水煮缶詰,87,76.4,19.5,0.6,1.5,1
＜貝類＞　ほっきがい　生,66,82.1,11.1,1.1,3.8,0.6
＜貝類＞　みるがい　水管　生,77,78.9,18.3,0.4,0.3,0.8
＜えび・かに類＞　えび類　あまえび　生,85,78.2,19.8,1.5,0.1,0.8
＜えび・かに類＞　えび類　アルゼンチンあかえび　生,73,80.1,19.1,0.7,Tr,0.8
＜えび・かに類＞　えび類　アルゼンチンあかえび　ゆで,95,75.4,22.5,1.8,Tr,0.8
＜えび・かに類＞　えび類　アルゼンチンあかえび　焼き,82,78.3,21,1.4,0.1,0.9
＜えび・かに類＞　えび類　いせえび　生,86,76.6,20.9,0.4,Tr,0.9
＜えび・かに類＞　えび類　くるまえび　養殖　生,90,76.1,21.6,0.6,Tr,0.4
＜えび・かに類＞　えび類　くるまえび　養殖　ゆで,116,69.3,28.2,0.5,Tr,0.5
＜えび・かに類＞　えび類　くるまえび　養殖　焼き,97,74.4,23.5,0.4,Tr,0.5
＜えび・かに類＞　えび類　さくらえび　生,78,78.9,16.6,2,0.1,0.7
＜えび・かに類＞　えび類　さくらえび　ゆで,82,75.6,18.2,1.5,Tr,2.1
＜えび・かに類＞　えび類　さくらえび　素干し,286,19.4,64.9,4,0.1,3
＜えび・かに類＞　えび類　さくらえび　煮干し,252,23.2,59.1,2.5,0.1,8.6
＜えび・かに類＞　えび類　大正えび　生,89,76.3,21.7,0.3,0.1,0.5
＜えび・かに類＞　えび類　しばえび　生,78,79.3,18.7,0.4,0.1,0.6
＜えび・かに類＞　えび類　バナメイえび　養殖　生,82,78.6,19.6,0.6,0.7,0.3
＜えび・かに類＞　えび類　バナメイえび　養殖　天ぷら,194,62,20,10.3,6.5,0.3
＜えび・かに類＞　えび類　ブラックタイガー　養殖　生,77,79.9,18.4,0.3,0.3,0.4
＜えび・かに類＞　えび類　加工品　干しえび,213,24.2,48.6,2.8,0.3,3.8
＜えび・かに類＞　えび類　加工品　つくだ煮,239,31.8,25.9,2.2,30.1,4.8
＜えび・かに類＞　かに類　がざみ　生,61,83.1,14.4,0.3,0.3,0.9
＜えび・かに類＞　かに類　毛がに　生,67,81.9,15.8,0.5,0.2,0.6
＜えび・かに類＞　かに類　毛がに　ゆで,78,79.2,18.4,0.5,0.2,0.6
＜えび・かに類＞　かに類　ずわいがに　生,59,84,13.9,0.4,0.1,0.8
＜えび・かに類＞　かに類　ずわいがに　ゆで,65,82.5,15,0.6,0.1,0.6
＜えび・かに類＞　かに類　ずわいがに　水煮缶詰,69,81.1,16.3,0.4,0.2,1.7
＜えび・かに類＞　かに類　たらばがに　生,56,84.7,13,0.9,0.2,0.9
＜えび・かに類＞　かに類　たらばがに　ゆで,77,80,17.5,1.5,0.3,0.8
＜えび・かに類＞　かに類　たらばがに　水煮缶詰,85,77,20.6,0.3,0.1,1.5
＜えび・かに類＞　かに類　加工品　がん漬,58,54.7,8.4,0.4,5.4,19.1
＜いか・たこ類＞　いか類　あかいか　生,81,79.3,17.9,1.5,Tr,0.5
＜いか・たこ類＞　いか類　けんさきいか　生,77,80,17.5,1,0.1,0.5
＜いか・たこ類＞　いか類　こういか　生,64,83.4,14.9,1.3,0.1,0.7
＜いか・たこ類＞　いか類　するめいか　生,76,80.2,17.9,0.8,0.1,0.5
＜いか・たこ類＞　いか類　するめいか　水煮,98,74.6,21.9,0.9,0.1,0.6
＜いか・たこ類＞　いか類　するめいか　焼き,108,71.8,23.6,1,0.1,0.8
＜いか・たこ類＞　いか類　するめいか　胴　皮つき　生,78,79.8,18.6,0.7,0.1,0.5
＜いか・たこ類＞　いか類　するめいか　胴　皮なし　生,80,79.1,18.6,0.6,0.1,0.5
＜いか・たこ類＞　いか類　するめいか　胴　皮なし　天ぷら,175,64.9,16.7,10.8,6.3,0.4
＜いか・たこ類＞　いか類　するめいか　胴　皮なし　フライ,352,37.5,24.8,23.4,1.1,0.9
＜いか・たこ類＞　いか類　するめいか　耳・足　生,75,80.8,16.9,0.9,0,0.6
＜いか・たこ類＞　いか類　ほたるいか　生,74,83,11.8,3.5,0.2,0.7
＜いか・たこ類＞　いか類　ほたるいか　ゆで,91,78.1,17.7,2.9,0.4,0.6
＜いか・たこ類＞　いか類　ほたるいか　くん製,305,23,43.1,7.5,21.3,3.8
＜いか・たこ類＞　いか類　ほたるいか　つくだ煮,245,39.8,27,6.7,22.9,3
＜いか・たこ類＞　いか類　やりいか　生,79,79.7,17.6,1,0.4,0.4
＜いか・たこ類＞　いか類　加工品　するめ,304,20.2,69.2,4.3,0.4,2.3
＜いか・たこ類＞　いか類　加工品　さきいか,268,26.4,45.5,3.1,17.3,6.9
＜いか・たこ類＞　いか類　加工品　くん製,202,43.5,35.2,1.5,12.8,6.1
＜いか・たこ類＞　いか類　加工品　切りいかあめ煮,310,22.8,22.7,4.7,46.1,2.8
＜いか・たこ類＞　いか類　加工品　いかあられ,289,26.7,20,1.8,49.1,1.8
＜いか・たこ類＞　いか類　加工品　塩辛,114,67.3,15.2,3.4,6.5,6.9
＜いか・たこ類＞　いか類　加工品　味付け缶詰,127,66.9,21.4,1.8,7.7,1.8
＜いか・たこ類＞　たこ類　いいだこ　生,64,83.2,14.6,0.8,0.1,0.6
＜いか・たこ類＞　たこ類　まだこ　皮つき　生,70,81.1,16.1,0.9,0.2,1
＜いか・たこ類＞　たこ類　まだこ　皮なし　生,88,76.1,19,1,0.4,1.8
＜いか・たこ類＞　たこ類　まだこ　ゆで,91,76.2,21.7,0.7,0.1,0.6
＜いか・たこ類＞　たこ類　まだこ　蒸しだこ,75,80.3,16.8,1.2,0.2,1.2
＜いか・たこ類＞　たこ類　まだこ　蒸しだこ　油いため,112,72.7,22.4,3,0.2,1.2
＜いか・たこ類＞　たこ類　まだこ　蒸しだこ　素揚げ,131,68.6,26,4,0.2,1.4
＜いか・たこ類＞　たこ類　みずだこ　生,61,83.5,13.4,0.9,0.1,1.1
＜その他＞　あみ　つくだ煮,230,35,19.1,1.8,35.1,6.9
＜その他＞　あみ　塩辛,62,63.7,12.9,1.1,0.8,19.8
＜その他＞　うに　生うに,109,73.8,16,4.8,3.3,0.6
＜その他＞　うに　粒うに,172,51.8,17.2,5.8,15.6,8.4
＜その他＞　うに　練りうに,166,53.1,13.5,2.9,22.4,7.1
＜その他＞　おきあみ　生,84,78.5,15,3.2,0.2,1.1
＜その他＞　おきあみ　ゆで,78,79.8,13.8,3,Tr,1.6
＜その他＞　くらげ　塩蔵　塩抜き,21,94.2,5.2,0.1,Tr,0.3
＜その他＞　しゃこ　ゆで,89,77.2,19.2,1.7,0.2,0.8
＜その他＞　なまこ　生,22,92.2,4.6,0.3,0.5,1.7
＜その他＞　なまこ　このわた,54,80.2,11.4,1.8,0.5,4.6
＜その他＞　ほや　生,27,88.8,5,0.8,0.8,3.3
＜その他＞　ほや　塩辛,69,79.7,11.6,1.1,3.8,3.6
＜水産練り製品＞　かに風味かまぼこ,89,75.6,12.1,0.5,9.2,2.2
＜水産練り製品＞　黒はんぺん,119,70.4,11.2,2.9,13.7,1.4
＜水産練り製品＞　昆布巻きかまぼこ,83,76.4,8.9,0.5,11,2.4
＜水産練り製品＞　す巻きかまぼこ,89,75.8,12,0.8,8.7,2.2
＜水産練り製品＞　蒸しかまぼこ,93,74.4,12,0.9,9.7,2.5
＜水産練り製品＞　焼き抜きかまぼこ,102,72.8,16.2,1,7.4,2.4
＜水産練り製品＞　焼き竹輪,107,70.2,13.2,0.4,13.3,2.5
＜水産練り製品＞　だて巻,190,58.8,14.6,7.5,17.6,0.9
＜水産練り製品＞　つみれ,104,75.4,12,4.3,6.5,1.4
＜水産練り製品＞　なると,80,77.8,7.6,0.4,11.6,2
＜水産練り製品＞　はんぺん,93,75.7,9.9,1,11.4,1.5
＜水産練り製品＞　さつま揚げ,116,70,11.3,2.4,12.6,2
＜水産練り製品＞　魚肉ハム,155,66,13.4,6.7,11.1,2.3
＜水産練り製品＞　魚肉ソーセージ,158,66.1,11.5,7.2,12.6,2.1
＜畜肉類＞　いのしし　肉　脂身つき　生,249,60.1,18.8,19.8,0.5,0.1
＜畜肉類＞　いのぶた　肉　脂身つき　生,275,56.7,18.1,24.1,0.3,0.1
＜畜肉類＞　うさぎ　肉　赤肉　生,131,72.2,20.5,6.3,Tr,0.1
＜畜肉類＞　うし　［和牛肉］　かた　脂身つき　生,258,58.8,17.7,22.3,0.3,0.1
＜畜肉類＞　うし　［和牛肉］　かた　皮下脂肪なし　生,239,60.7,18.3,19.8,0.3,0.1
＜畜肉類＞　うし　［和牛肉］　かた　赤肉　生,183,66.3,20.2,12.2,0.3,0.1
＜畜肉類＞　うし　［和牛肉］　かた　脂身　生,692,17.8,4,78,0,0
＜畜肉類＞　うし　［和牛肉］　かたロース　脂身つき　生,380,47.9,13.8,37.4,0.2,0.1
＜畜肉類＞　うし　［和牛肉］　かたロース　皮下脂肪なし　生,373,48.6,14,36.5,0.2,0.1
＜畜肉類＞　うし　［和牛肉］　かたロース　赤肉　生,293,56.4,16.5,26.1,0.2,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　生,514,34.5,9.7,56.5,0.1,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　ゆで,539,29.2,12.6,58.2,0.1,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　焼き,541,27.7,14.6,56.8,0.2,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　皮下脂肪なし　生,502,36.1,10.3,54.4,0.1,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　赤肉　生,395,47.2,14,40,0.2,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身　生,674,17.7,4.2,78,0,0.1
＜畜肉類＞　うし　［和牛肉］　サーロイン　脂身つき　生,460,40,11.7,47.5,0.3,0.1
＜畜肉類＞　うし　［和牛肉］　サーロイン　皮下脂肪なし　生,422,43.7,12.9,42.5,0.3,0.1
＜畜肉類＞　うし　［和牛肉］　サーロイン　赤肉　生,294,55.9,17.1,25.8,0.4,0.1
＜畜肉類＞　うし　［和牛肉］　ばら　脂身つき　生,472,38.4,11,50,0.1,0.1
＜畜肉類＞　うし　［和牛肉］　もも　脂身つき　生,235,61.2,19.2,18.7,0.5,0.1
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　生,212,63.4,20.2,15.5,0.6,0.1
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　ゆで,302,50.1,25.7,23.3,0.2,0.1
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　焼き,300,49.5,27.7,22.7,0.5,0.1
＜畜肉類＞　うし　［和牛肉］　もも　赤肉　生,176,67,21.3,10.7,0.6,0.1
＜畜肉類＞　うし　［和牛肉］　もも　脂身　生,664,20.3,4.4,75.4,0,0.1
＜畜肉類＞　うし　［和牛肉］　そともも　脂身つき　生,244,60.8,17.8,20,0.5,0.1
＜畜肉類＞　うし　［和牛肉］　そともも　皮下脂肪なし　生,219,63.3,18.7,16.6,0.5,0.1
＜畜肉類＞　うし　［和牛肉］　そともも　赤肉　生,159,69,20.7,8.7,0.6,0.1
＜畜肉類＞　うし　［和牛肉］　ランプ　脂身つき　生,319,53.8,15.1,29.9,0.4,0.1
＜畜肉類＞　うし　［和牛肉］　ランプ　皮下脂肪なし　生,293,56.3,16,26.4,0.4,0.1
＜畜肉類＞　うし　［和牛肉］　ランプ　赤肉　生,196,65.7,19.2,13.6,0.5,0.1
＜畜肉類＞　うし　［和牛肉］　ヒレ　赤肉　生,207,64.6,19.1,15,0.3,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　生,231,62,17.1,19.8,0.3,0.2
