食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
こめ　［水稲めし］　精白米　インディカ米,184,54,3.8,0.4,41.5,0
こめ　［水稲めし］　精白米　うるち米,156,60,2.5,0.3,37.1,0
こめ　［水稲めし］　精白米　もち米,188,52.1,3.5,0.5,43.9,0
こめ　［水稲めし］　はいが精米,159,60,2.7,0.6,36.4,0
こめ　［水稲めし］　発芽玄米,161,60,3,1.4,35,0
こめ　［水稲めし］　赤米,150,61.3,3.8,1.3,32.7,0
こめ　［水稲めし］　黒米,150,62,3.6,1.4,32.2,0
こめ　［水稲軟めし］　精白米,113,71.5,1.8,0.3,26.4,0
こめ　［水稲全かゆ］　玄米,64,83,1.2,0.4,15.2,0
こめ　［水稲全かゆ］　半つき米,65,83,1.1,0.3,15.5,0
こめ　［水稲全かゆ］　七分つき米,68,83,1.1,0.2,15.6,0
こめ　［水稲全かゆ］　精白米,65,83,1.1,0.1,15.7,0
こめ　［水稲五分かゆ］　玄米,32,91.5,0.6,0.2,7.6,0
こめ　［水稲五分かゆ］　半つき米,32,91.5,0.6,0.1,7.7,0
こめ　［水稲五分かゆ］　七分つき米,32,91.5,0.6,0.1,7.7,0
こめ　［水稲五分かゆ］　精白米,33,91.5,0.5,0.1,7.9,0
こめ　［水稲おもゆ］　玄米,19,95,0.4,0.1,4.4,0
こめ　［水稲おもゆ］　半つき米,19,95,0.3,0.1,4.6,0
こめ　［水稲おもゆ］　七分つき米,20,95,0.3,0.1,4.6,0
こめ　［水稲おもゆ］　精白米,19,95,0.3,0,4.7,0
こめ　［陸稲穀粒］　玄米,357,14.9,10.1,2.7,71.1,0
こめ　［陸稲穀粒］　半つき米,356,14.9,9.6,1.8,72.9,0
こめ　［陸稲穀粒］　七分つき米,359,14.9,9.5,1.5,73.4,0
こめ　［陸稲穀粒］　精白米,331,14.9,9.3,0.9,74.5,0
こめ　［陸稲めし］　玄米,156,60,4.1,1,34.3,0
こめ　［陸稲めし］　半つき米,157,60,3.8,0.6,35.3,0
こめ　［陸稲めし］　七分つき米,155,60,3.6,0.5,35.7,0
こめ　［陸稲めし］　精白米,157,60,3.5,0.3,36.1,0
こめ　［うるち米製品］　アルファ化米　一般用,358,7.9,6,1,84.8,0
こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358,7.9,6,1,84.8,0
こめ　［うるち米製品］　水稲全かゆ　レトルト　玄米,45,88,0.9,0.4,10.6,0
こめ　［うるち米製品］　水稲全かゆ　レトルト　精白米,37,90.7,0.6,0.1,8.6,0
こめ　［うるち米製品］　おにぎり,170,57,2.7,0.3,39.4,0.5
こめ　［うるち米製品］　焼きおにぎり,166,56,3.1,0.3,39.5,1
こめ　［うるち米製品］　きりたんぽ,200,50,3.2,0.4,46.2,0
こめ　［うるち米製品］　上新粉,343,14,6.2,0.9,78.5,0
こめ　［うるち米製品］　玄米粉,370,4.6,7.1,2.9,84.1,0
こめ　［うるち米製品］　米粉,356,11.1,6,0.7,81.9,0
こめ　［うるち米製品］　米粉パン　食パン,247,41.2,10.7,5.1,41.6,1.1
こめ　［うるち米製品］　米粉パン　ロールパン,256,41.2,8.8,6.7,42,0.9
こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247,41.2,3.4,3.1,51.3,0.9
こめ　［うるち米製品］　米粉めん,252,37,3.6,0.7,58.4,0.1
こめ　［うるち米製品］　ビーフン,360,11.1,7,1.6,79.9,0
こめ　［うるち米製品］　ライスペーパー,339,13.2,0.5,0.3,84.3,1.7
こめ　［うるち米製品］　米こうじ,260,33,5.8,1.7,59.2,0
こめ　［もち米製品］　もち,223,44.5,4,0.6,50.8,0
こめ　［もち米製品］　赤飯,186,53,4.3,0.6,41.9,0
こめ　［もち米製品］　あくまき,131,69.5,2.3,1.8,25.7,0
こめ　［もち米製品］　白玉粉,347,12.5,6.3,1,80,0
こめ　［もち米製品］　道明寺粉,349,11.6,7.1,0.7,80.4,0
こめ　［その他］　米ぬか,374,10.3,13.4,19.6,48.8,0
そば　そば粉　全層粉,339,13.5,12,3.1,69.6,0
そば　そば粉　内層粉,342,14,6,1.6,77.6,0
そば　そば粉　中層粉,334,13.5,10.2,2.7,71.6,0
そば　そば粉　表層粉,337,13,15,3.6,65.1,0
そば　そば米,347,12.8,9.6,2.5,73.7,0
そば　そば　生,271,33,9.8,1.9,54.5,0
そば　そば　ゆで,130,68,4.8,1,26,0
そば　そば　半生そば,325,23,10.5,3.8,61.8,0
そば　干しそば　乾,344,14,14,2.3,66.7,2.2
そば　干しそば　ゆで,113,72,4.8,0.7,22.1,0.1
とうもろこし　玄穀　黄色種,341,14.5,8.6,5,70.6,0
